id,kind,label,layer,metrics,path,summary,tags
agent:01:data_quality,agent_workflow,Agent1 data_quality,agent_workflow,"{""agent_number"": 1}",experiments/run_agent1_data_quality.py,,"[""agent"", ""data_quality""]"
agent:02:soft_sensor,agent_workflow,Agent2 soft_sensor,agent_workflow,"{""agent_number"": 2}",experiments/run_agent2_soft_sensor.py,,"[""agent"", ""soft_sensor""]"
agent:03:mechanism,agent_workflow,Agent3 mechanism,agent_workflow,"{""agent_number"": 3}",experiments/run_agent3_mechanism.py,,"[""agent"", ""mechanism""]"
agent:04:fault_diagnosis,agent_workflow,Agent4 fault_diagnosis,agent_workflow,"{""agent_number"": 4}",experiments/run_agent4_fault_diagnosis.py,,"[""agent"", ""fault_diagnosis""]"
agent:05:control_strategy,agent_workflow,Agent5 control_strategy,agent_workflow,"{""agent_number"": 5}",experiments/run_agent5_control_strategy.py,,"[""agent"", ""control_strategy""]"
agent:06:cost_safety,agent_workflow,Agent6 cost_safety,agent_workflow,"{""agent_number"": 6}",experiments/run_agent6_cost_safety.py,,"[""agent"", ""cost_safety""]"
agent:10:catalyst_lifecycle,agent_workflow,Agent10 catalyst_lifecycle,agent_workflow,"{""agent_number"": 10}",experiments/run_agent10_catalyst_lifecycle.py,,"[""agent"", ""catalyst_lifecycle""]"
agent:11:validation_planning,agent_workflow,Agent11 validation_planning,agent_workflow,"{""agent_number"": 11}",experiments/run_agent11_validation_planning.py,,"[""agent"", ""validation_planning""]"
agent:12:operations_scheduling,agent_workflow,Agent12 operations_scheduling,agent_workflow,"{""agent_number"": 12}",experiments/run_agent12_operations_scheduling.py,,"[""agent"", ""operations_scheduling""]"
agent:13:queue_planning,agent_workflow,Agent13 queue_planning,agent_workflow,"{""agent_number"": 13}",experiments/run_agent13_queue_planning.py,,"[""agent"", ""queue_planning""]"
agent:14:resource_expansion,agent_workflow,Agent14 resource_expansion,agent_workflow,"{""agent_number"": 14}",experiments/run_agent14_resource_expansion.py,,"[""agent"", ""resource_expansion""]"
agent:15:long_term_economics,agent_workflow,Agent15 long_term_economics,agent_workflow,"{""agent_number"": 15}",experiments/run_agent15_long_term_economics.py,,"[""agent"", ""long_term_economics""]"
agent:16:phased_implementation,agent_workflow,Agent16 phased_implementation,agent_workflow,"{""agent_number"": 16}",experiments/run_agent16_phased_implementation.py,,"[""agent"", ""phased_implementation""]"
agent:17:implementation_stress_test,agent_workflow,Agent17 implementation_stress_test,agent_workflow,"{""agent_number"": 17}",experiments/run_agent17_implementation_stress_test.py,,"[""agent"", ""implementation_stress_test""]"
agent:18:adaptive_portfolio,agent_workflow,Agent18 adaptive_portfolio,agent_workflow,"{""agent_number"": 18}",experiments/run_agent18_adaptive_portfolio.py,,"[""agent"", ""adaptive_portfolio""]"
agent:19:online_project_control,agent_workflow,Agent19 online_project_control,agent_workflow,"{""agent_number"": 19}",experiments/run_agent19_online_project_control.py,,"[""agent"", ""online_project_control""]"
agent:20:campaign_telemetry,agent_workflow,Agent20 campaign_telemetry,agent_workflow,"{""agent_number"": 20}",experiments/run_agent20_campaign_telemetry.py,,"[""agent"", ""campaign_telemetry""]"
agent:21:replanning_orchestrator,agent_workflow,Agent21 replanning_orchestrator,agent_workflow,"{""agent_number"": 21}",experiments/run_agent21_replanning_orchestrator.py,,"[""agent"", ""replanning_orchestrator""]"
agent:22:control_baseline_update,agent_workflow,Agent22 control_baseline_update,agent_workflow,"{""agent_number"": 22}",experiments/run_agent22_control_baseline_update.py,,"[""agent"", ""control_baseline_update""]"
agent:23:post_replan_replay,agent_workflow,Agent23 post_replan_replay,agent_workflow,"{""agent_number"": 23}",experiments/run_agent23_post_replan_replay.py,,"[""agent"", ""post_replan_replay""]"
agent:24:recovery_ramp,agent_workflow,Agent24 recovery_ramp,agent_workflow,"{""agent_number"": 24}",experiments/run_agent24_recovery_ramp.py,,"[""agent"", ""recovery_ramp""]"
agent:25:time_budget_recovery,agent_workflow,Agent25 time_budget_recovery,agent_workflow,"{""agent_number"": 25}",experiments/run_agent25_time_budget_recovery.py,,"[""agent"", ""time_budget_recovery""]"
agent:26:recovery_strategy_writeback,agent_workflow,Agent26 recovery_strategy_writeback,agent_workflow,"{""agent_number"": 26}",experiments/run_agent26_recovery_strategy_writeback.py,,"[""agent"", ""recovery_strategy_writeback""]"
